index,match_id,x,y,xG,minute,result,team,h_a,player,home_score,away_score,home_goal_scored,away_goal_scored,test_home_score,home_current_score,away_current_score
943,18238,0.909000015258789,0.5840000152587891,0.3789205551147461,81,SavedShot,Arsenal,h,Eddie Nketiah,0,0,0,0,,0,0
944,18238,0.9669999694824218,0.590999984741211,0.10268402099609375,82,BlockedShot,Arsenal,h,Eddie Nketiah,0,0,0,0,,0,0
945,18238,0.840999984741211,0.7440000152587891,0.019575025886297226,82,BlockedShot,Arsenal,h,Gabriel Martinelli,0,0,0,0,,0,0
946,18238,0.970999984741211,0.7019999694824218,0.033032145351171494,84,SavedShot,Arsenal,h,Gabriel Martinelli,0,0,0,0,,0,0
947,18238,0.9830000305175781,0.5320000076293945,0.8410513997077942,85,Goal,Arsenal,h,Gabriel,0,0,1,0,,0,0
958,18238,0.9119999694824219,0.555,0.0855347067117691,89,SavedShot,Fulham,a,Nathaniel Chalobah,0,0,0,0,,1,0
959,18239,0.8859999847412109,0.6759999847412109,0.05296742916107178,12,BlockedShot,Aston Villa,h,Ollie Watkins,0,0,0,0,,0,0
960,18239,0.905,0.44,0.04234759137034416,16,SavedShot,Aston Villa,h,Ollie Watkins,0,0,0,0,,0,0
961,18239,0.6869999694824219,0.6780000305175782,0.010662615299224854,33,SavedShot,Aston Villa,h,Philippe Coutinho,0,0,0,0,,0,0
968,18239,0.7469999694824219,0.6619999694824219,0.011295778676867485,41,MissedShots,West Ham,a,Pablo Fornals,0,0,0,0,,0,0
962,18239,0.7340000152587891,0.6229999923706054,0.013518872670829296,44,MissedShots,Aston Villa,h,John McGinn,0,0,0,0,,0,0
963,18239,0.91,0.49700000762939456,0.051051728427410126,48,MissedShots,Aston Villa,h,Danny Ings,0,0,0,0,,0,0
969,18239,0.86,0.4640000152587891,0.144939124584198,55,BlockedShot,West Ham,a,Jarrod Bowen,0,0,0,0,,0,0
970,18239,0.7859999847412109,0.5370000076293945,0.03960885480046272,61,SavedShot,West Ham,a,Gianluca Scamacca,0,0,0,0,,0,0
964,18239,0.7269999694824218,0.750999984741211,0.012185019440948963,63,BlockedShot,Aston Villa,h,John McGinn,0,0,0,0,,0,0
971,18239,0.7980000305175782,0.3320000076293945,0.02788461185991764,71,MissedShots,West Ham,a,Said Benrahma,0,0,0,0,,0,0
972,18239,0.754000015258789,0.63,0.020845061168074608,73,Goal,West Ham,a,Pablo Fornals,0,0,0,1,,0,0
965,18239,0.8490000152587891,0.41200000762939454,0.06745223701000214,75,MissedShots,Aston Villa,h,Matthew Cash,0,0,0,0,,0,1
973,18239,0.7619999694824219,0.37599998474121094,0.062027283012866974,79,BlockedShot,West Ham,a,Aaron Cresswell,0,0,0,0,,0,0
974,18239,0.7569999694824219,0.4279999923706055,0.02798840031027794,81,MissedShots,West Ham,a,Declan Rice,0,0,0,0,,0,0
966,18239,0.8430000305175781,0.285,0.03139986842870712,86,MissedShots,Aston Villa,h,Leon Bailey,0,0,0,0,,0,0
967,18239,0.7669999694824219,0.575999984741211,0.022970052435994148,88,SavedShot,Aston Villa,h,Jacob Ramsey,0,0,0,0,,0,0
985,18240,0.9440000152587891,0.6780000305175782,0.1201295554637909,3,SavedShot,Newcastle United,a,Chris Wood,0,0,0,0,,0,0
975,18240,0.895,0.46,0.3110599219799042,6,MissedShots,Wolverhampton Wanderers,h,Pedro Neto,0,0,0,0,,0,0
986,18240,0.86,0.46799999237060547,0.0382656492292881,11,BlockedShot,Newcastle United,a,Sean Longstaff,0,0,0,0,,0,0
987,18240,0.8590000152587891,0.46599998474121096,0.09277885407209396,11,BlockedShot,Newcastle United,a,Chris Wood,0,0,0,0,,0,0
988,18240,0.9119999694824219,0.435,0.38007694482803345,11,MissedShots,Newcastle United,a,Joe Willock,0,0,0,0,,0,0
989,18240,0.825,0.5309999847412109,0.07378208637237549,14,BlockedShot,Newcastle United,a,Sean Longstaff,0,0,0,0,,0,0
990,18240,0.7980000305175782,0.6559999847412109,0.03297635167837143,19,BlockedShot,Newcastle United,a,Allan Saint-Maximin,0,0,0,0,,0,0
991,18240,0.92,0.5670000076293945,0.07400158792734146,21,SavedShot,Newcastle United,a,Joelinton,0,0,0,0,,0,0
992,18240,0.865999984741211,0.6990000152587891,0.03296034783124924,21,BlockedShot,Newcastle United,a,Allan Saint-Maximin,0,0,0,0,,0,0
976,18240,0.905,0.4490000152587891,0.366414338350296,25,MissedShots,Wolverhampton Wanderers,h,Matheus Nunes,0,0,0,0,,0,0
977,18240,0.8519999694824218,0.41900001525878905,0.041613128036260605,31,SavedShot,Wolverhampton Wanderers,h,Raúl Jiménez,0,0,0,0,,0,0
